"filename", "language", "JavaScript", "JavaScript JSX", "HTML", "SCSS", "PostCSS", "JSON", "Markdown", "XML", "comment", "blank", "total"
"/Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Table/EditIcon.jsx", "JavaScript JSX", 0, 38, 0, 0, 0, 0, 0, 0, 0, 1, 39
"/Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Table/EyeIcon.jsx", "JavaScript JSX", 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 29
"/Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Table/PlusIcon.jsx", "JavaScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"/Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Table/SearchIcon.jsx", "JavaScript JSX", 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 29
"/Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Table/TableTemplate.css", "PostCSS", 0, 0, 0, 0, 33, 0, 0, 0, 0, 1, 34
"/Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Table/TableTemplate.jsx", "JavaScript JSX", 0, 447, 0, 0, 0, 0, 0, 0, 12, 35, 494
"/Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Table/TableTemplate.scss", "SCSS", 0, 0, 0, 33, 0, 0, 0, 0, 1, 4, 38
"/Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Table/VerticalDotsIcon.jsx", "JavaScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"/Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Table/data.js", "JavaScript", 219, 0, 0, 0, 0, 0, 0, 0, 0, 4, 223
"/Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Table/utils.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Admin.jsx", "JavaScript JSX", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Attendance/Attendance.css", "PostCSS", 0, 0, 0, 0, 30, 0, 0, 0, 0, 1, 31
"/Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Attendance/Attendance.jsx", "JavaScript JSX", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Attendance/Attendance.scss", "SCSS", 0, 0, 0, 30, 0, 0, 0, 0, 1, 3, 34
"/Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Attendance/Components/AttendanceChart.jsx", "JavaScript JSX", 0, 157, 0, 0, 0, 0, 0, 0, 2, 19, 178
"/Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Attendance/Components/AttendanceList.jsx", "JavaScript JSX", 0, 255, 0, 0, 0, 0, 0, 0, 0, 20, 275
"/Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Body.jsx", "JavaScript JSX", 0, 29, 0, 0, 0, 0, 0, 0, 0, 4, 33
"/Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Booking Manager/BookingsManager.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Booking Manager/Components/BookingList/AddBookingForm.jsx", "JavaScript JSX", 0, 122, 0, 0, 0, 0, 0, 0, 0, 6, 128
"/Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Booking Manager/Components/BookingList/BookingList.jsx", "JavaScript JSX", 0, 143, 0, 0, 0, 0, 0, 0, 0, 13, 156
"/Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Booking Manager/Components/BookingList/EditBookingForm.jsx", "JavaScript JSX", 0, 138, 0, 0, 0, 0, 0, 0, 0, 7, 145
"/Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Booking Manager/bookingsManager.css", "PostCSS", 0, 0, 0, 0, 158, 0, 0, 0, 0, 1, 159
"/Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Booking Manager/bookingsManager.scss", "SCSS", 0, 0, 0, 167, 0, 0, 0, 0, 1, 34, 202
"/Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Charts/Charts.jsx", "JavaScript JSX", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe/src/Components/Users/Admin & Staff/Components/Body Section/Charts/Components/BookingChart.jsx", "JavaScript JSX", 0, 172, 0, 0, 0, 0, 0, 0, 0, 14, 186
