Date : 2024-06-27 16:43:28
Directory : /Users/MacbookProCuaNminh/Desktop/project/oopsdance_fe
Total : 144 files,  27442 codes, 462 comments, 1972 blanks, all 29876 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| src/Components/Users/Admin & Staff/Components/Body Section/Main Body/Top Section                                                                                             |          3 |        755 |         17 |        101 |        873 |
| src/Components/Users/Admin & Staff/Components/Body Section/Room Manager                                                                                                      |          5 |        261 |          2 |         30 |        293 |
| src/Components/Users/Admin & Staff/Components/Body Section/Room Manager (Files)                                                                                              |          3 |         79 |          1 |          7 |         87 |
| src/Components/Users/Admin & Staff/Components/Body Section/Room Manager/Components                                                                                           |          2 |        182 |          1 |         23 |        206 |
| src/Components/Users/Admin & Staff/Components/Body Section/Students                                                                                                          |          4 |        478 |         11 |         39 |        528 |
| src/Components/Users/Admin & Staff/Components/Body Section/Students (Files)                                                                                                  |          1 |         12 |          0 |          2 |         14 |
| src/Components/Users/Admin & Staff/Components/Body Section/Students/Components                                                                                               |          3 |        466 |         11 |         37 |        514 |
| src/Components/Users/Admin & Staff/Components/Body Section/User Manager                                                                                                      |          3 |        266 |         14 |         24 |        304 |
| src/Components/Users/Admin & Staff/Components/Body Section/User Manager (Files)                                                                                              |          1 |         10 |          0 |          2 |         12 |
| src/Components/Users/Admin & Staff/Components/Body Section/User Manager/Components                                                                                           |          2 |        256 |         14 |         22 |        292 |
| src/Components/Users/Admin & Staff/Components/SideBar Section                                                                                                                |          3 |        573 |         21 |         74 |        668 |
| src/Components/Users/Instructor & Guest                                                                                                                                      |         40 |      4,426 |         99 |        527 |      5,052 |
| src/Components/Users/Instructor & Guest (Files)                                                                                                                              |          1 |         12 |          0 |          2 |         14 |
| src/Components/Users/Instructor & Guest/Components                                                                                                                           |         39 |      4,414 |         99 |        525 |      5,038 |
| src/Components/Users/Instructor & Guest/Components/Body Section                                                                                                              |         36 |      3,852 |         87 |        450 |      4,389 |
| src/Components/Users/Instructor & Guest/Components/Body Section (Files)                                                                                                      |          3 |         81 |          1 |          9 |         91 |
| src/Components/Users/Instructor & Guest/Components/Body Section/Components                                                                                                   |         33 |      3,771 |         86 |        441 |      4,298 |
| src/Components/Users/Instructor & Guest/Components/Body Section/Components/Attendance                                                                                        |          5 |        749 |         45 |         85 |        879 |
| src/Components/Users/Instructor & Guest/Components/Body Section/Components/Main Body                                                                                         |         15 |      1,641 |         26 |        212 |      1,879 |
| src/Components/Users/Instructor & Guest/Components/Body Section/Components/Main Body (Files)                                                                                 |          3 |         38 |          3 |          6 |         47 |
